,가게이름,평점,주소,리뷰수,카테고리,rv
0,솔밭집,3.8,선동 341-4,55,한식, 
1,참맛집식당,5.0,남산동 3-9번지 금단로101번길9-1 1층 일부 금정구 부산광역시 KR,1,음식점, 
2,해목,4.3,구남로24번길 8,"1,265",일식, 
3,해운대암소갈비집,3.9,중동2로10번길 32-10,"3,050",한국식 BBQ, 
4,포도밭집,4.0,선동 355,72,한식, 
5,88간바지,4.0,재송1동 1098-1,168,한식, 
6,동백섬횟집,4.0,해운대해변로209번나길 17,680,회 전문점, 
7,은행나무집,4.3,선동 430-2,37,한식, 
8,부산모밀,4.2,남산동 17-26,246,소바 전문점, 
9,60년전통할매국밥,4.2,중앙대로533번길 4,"2,195",돼지국밥 전문점, 
10,금수복국 해운대본점,4.1,중동1로43번길 23,"5,837",복어 요리 전문식당, 
11,손영환 비빔국수 본점,3.9,두구동 601-6,571,국수 전문점, 
12,송정3대국밥,3.9,서면로68번길 33,"2,884",돼지국밥 전문점, 
13,범어사 소문난떡볶이,4.1, ,15,음식점, 
14,개미집 해운대점,3.8,구남로 34,"3,435",낙지전문점, 
15,나윤맛집,리뷰 없음,부곡동 59-13번지 금정구 부산광역시 KR, ,한식, 
16,새총횟집,4.3,반여1동 1012-9,158,회 전문점, 
17,고옥,4.2,광남로 6,868,일식, 
18,기장손칼국수,4.0,서면로 56,"1,523",칼국수집, 
19,속씨원한대구탕 본점,4.0,달맞이길62번길 28,"1,587",한식, 
20,나가하마 만게츠 한국본점,4.4,우동1로 57,873,라면, 
21,신발원(新發園),4.1,대영로243번길 62,"2,553",중식, 
22,박옥희 할매집원조복국,4.2,달맞이길62번길 28,"1,198",복어 요리 전문식당, 
23,센텀맛집,4.5,재송동 918-4번지 해운대구 부산광역시 KR,2,한식, 
24,할매집,4.1,중동2로10번길 7,767,돼지국밥 전문점, 
25,장수원돼지국밥,3.6,남산동 91-10번지 장수원돼지국밥 금정구 부산광역시 KR,16,음식점, 
26,쌍둥이돼지국밥 본점,3.9,유엔평화로 35-1,"2,166",돼지국밥 전문점, 
27,본전돼지국밥,4.1,중앙대로214번길 3-8,"3,846",돼지국밥 전문점, 
28,소영맛집,리뷰 없음,장전동 96-21번지 금정구 부산광역시 KR, ,한식, 
29,하나로맛집,리뷰 없음,장전동 629-2번지 금정구 부산광역시 KR, ,음식점, 
30,점례네,3.9,좌동로10번길 72,319,한국식 소고기 전문 음식점, 
31,맛집,3.4,초량중로 11,48,한식, 
32,삼오정,4.2,서면로68번길 11,419,한식, 
33,땡기는맛집,리뷰 없음,사직동 147-48번지 동래구 부산광역시 KR, ,음식점, 
34,우리동네맛집,리뷰 없음,연산동 657 27번지, ,음식점, 
35,금하아구찜,4.4,남산동 122-16,62,한식, 
36,원조석대추어탕,4.1,석대동 489-1,419,추어탕집, 
37,밀양순대돼지국밥 해운대점,3.9,구남로 28,"2,951",한식, 
38,라호짬뽕,4.0,우동 마린시티1로 137,193,중식, 
39,풍년곱창,4.2,감만1동 77-12,550,곱창전문점, 
